product_id,product_name,category,unit_cost,unit_price
PROD0094,Writer Wish,apparel,226.57,393.51
PROD0095,Western Tough,Toys & Games,133.73,271.32
PROD0096,Bit Begin,Sports & Outdoors,253.02,321.49
PROD0097,Sure Third,beauty,37.45,53.1
PROD0098,Body Behind,Toys & Games,144.45,351.41
PROD0099,Rate Admit,Sports & Outdoors,212.57,386.23
PROD0100,Practice Work,Apparel,132.12,208.15
PROD0101,Its Body,Grocery,96.76,182.81
PROD0102,Model So,Electronics,160.79,266.91
PROD0103,Society Price,Toys & Games,196.66,305.68
PROD0104,Within Off,Beauty,32.19,66.01
PROD0105,Black Property,Toys & Games,203.56,308.26
PROD0106,Life Most,Sports & Outdoors,204.28,508.9
PROD0107,Party Sure,Books,202.82,462.67
PROD0108,Alone Region,Electronics,159.0,332.49
PROD0109,Figure Together,Books,87.14,126.44
PROD0110,Kitchen Development,Electronics,19.89,39.23
PROD0111,Dog Standard,sports & outdoors,192.51,408.22
PROD0112,Look Ok,Home & Kitchen,182.59,308.35
PROD0113,I Building,apparel,209.61,320.56
PROD0114,Deal Total,Grocery,25.49,45.61
PROD0115,Manager Capital,beauty,208.59,431.33
PROD0116,Have Student,Books,234.88,366.52
PROD0117,White Majority,Electronics,101.8,130.11
PROD0118,Itself Whatever,Beauty,23.61,58.39
PROD0119,Tend Quite,Sports & Outdoors,56.0,103.02
PROD0120,Score Still,Apparel,131.08,261.92
PROD0121,Sit Individual,home & kitchen,215.47,287.5
PROD0122,Account Yard,Home & Kitchen,219.08,484.26
PROD0123,House Station,electronics,47.21,95.95
PROD0124,Door Movement,Electronics,82.13,173.3
PROD0125,Federal Executive,Toys & Games,156.07,377.98
PROD0126,Until Reason,Grocery,122.96,263.88
PROD0127,Everything Food,Home & Kitchen,3.98,9.71
PROD0128,This Weight,Grocery,161.99,403.21
PROD0129,Stuff Where,Books,121.98,246.64
PROD0130,Join Report,Home & Kitchen,256.44,421.1
PROD0131,Effort Above,grocery,89.12,130.48
PROD0132,We When,electronics,199.24,316.5
PROD0133,Join Alone,toys & games,190.29,317.22
PROD0134,Administration Agree,home & kitchen,133.08,192.47
PROD0135,Class Street,Electronics,216.76,427.2
PROD0136,House Though,Grocery,238.44,485.57
PROD0137,Technology Natural,Grocery,250.77,447.4
PROD0138,Ten Site,Electronics,19.65,43.7
PROD0139,Plan Friend,Electronics,65.87,135.03
PROD0140,Government Conference,grocery,261.45,496.11
PROD0141,Owner Law,sports & outdoors,13.95,19.31
PROD0142,Effort Only,Electronics,275.65,347.19
PROD0143,Include Data,Apparel,190.9,453.59
PROD0144,Practice Quickly,Home & Kitchen,53.69,105.68
PROD0145,Increase Them,Home & Kitchen,179.71,359.48
PROD0146,Approach Suddenly,home & kitchen,129.58,292.2
PROD0147,Work Participant,Toys & Games,292.83,570.65
PROD0148,Laugh Career,Apparel,289.51,427.66
PROD0149,Wrong Provide,Electronics,102.64,139.28
PROD0150,In Should,apparel,52.91,88.94
